metric,quantile,value
error,0.01,-10757.042948007114
abs_err,0.01,6.092631701820039
error,0.05,-2523.8647021457164
abs_err,0.05,49.69369456176162
error,0.1,-1160.3604649917884
abs_err,0.1,102.1445154383199
error,0.25,-140.30543532269866
abs_err,0.25,207.06042296986539
error,0.5,219.70780877739233
abs_err,0.5,347.7499279426297
error,0.75,392.45132627079056
abs_err,0.75,612.5613139837753
error,0.9,609.3933945620576
abs_err,0.9,1508.164758137357
error,0.95,847.5729956255897
abs_err,0.95,2722.9334633210665
error,0.99,2002.118131926552
abs_err,0.99,9388.657521595116
