codigo_postal,prob_ocurre_siniestro
25539,0.5908152096102665
39210,0.5726166980776873
34829,0.5618463682947782
22610,0.5599020824773173
22639,0.5585890297313895
39200,0.5569977322177904
34846,0.5551147301255047
19224,0.5521085882419035
22373,0.5505869242311145
34800,0.5498987588933265
22370,0.5491750126356614
22374,0.5488435633481283
22613,0.5472975088462642
22630,0.547060422132915
22661,0.5470310406505746
33790,0.5459831770623419
33700,0.5455451113688387
33787,0.5452738983306075
22660,0.5447809517610886
22640,0.5443498384520117
22666,0.5433013896832785
36660,0.5431107299308919
22636,0.5425154062573274
22637,0.5422219205445847
36659,0.5401511395058671
